"","YEAR","AGE","WT","Selectivity","MAT"
"1",1968,1,0,1.9422019557712e-10,0
"54",1968,2,10.6206835986329,0.0142364055173445,0.0462413165817345
"107",1968,3,32.7929645811242,0.319236199554441,0.150580013859713
"160",1968,4,105.328097353097,1,0.40899484939806
"213",1968,5,172.88422803098,0.949397014363129,0.727677885186035
"266",1968,6,219.916812760504,0.928594352078857,0.904042405979939
"319",1968,7,255.797357128316,0.917179256993776,0.968361419402096
"372",1968,8,292.587761421674,0.910302152760121,0.98952830509524
"425",1968,9,328.482698810281,0.905463143365932,0.996467574902922
"478",1968,10,363.228260739637,0.902458593106621,0.99878580578574
"531",1968,11,375.448629148629,0.900861564942876,0.999576550691622
"584",1968,12,393.147037037037,0.900326403440377,0.99985083159611
"2",1969,1,0,1.93928183281376e-10,0
"55",1969,2,10.6206835986329,0.0138434979482866,0.0462413165817345
"108",1969,3,32.7929645811242,0.313894102668533,0.150580013859713
"161",1969,4,105.328097353097,1,0.40899484939806
"214",1969,5,172.88422803098,0.95488098606913,0.727677885186035
"267",1969,6,219.916812760504,0.935751580112831,0.904042405979939
"320",1969,7,255.797357128316,0.925018868754355,0.968361419402096
"373",1969,8,292.587761421674,0.918452222771375,0.98952830509524
"426",1969,9,328.482698810281,0.913747863739079,0.996467574902922
"479",1969,10,363.228260739637,0.910767332366538,0.99878580578574
"532",1969,11,375.448629148629,0.909153941216555,0.999576550691622
"585",1969,12,393.147037037037,0.908607169994742,0.99985083159611
"3",1970,1,0,1.89234832873724e-10,0
"56",1970,2,12.2577075098814,0.0252674784132533,0.0745269266499178
"109",1970,3,23.9523042754026,0.122287598307149,0.183438419262226
"162",1970,4,65.5529610829103,1,0.385255005571579
"215",1970,5,155.1429000429,0.936558748818575,0.636132981714709
"268",1970,6,208.765422222222,0.913443679830223,0.829846588927428
"321",1970,7,251.8288218111,0.900041407828027,0.931531845668627
"374",1970,8,293.407186858316,0.891655657190377,0.974328894909485
"427",1970,9,336.493697478992,0.885731910004456,0.990643691600242
"480",1970,10,367.28679245283,0.882450113500446,0.99662582770025
"533",1970,11,397.5,0.881088860852334,0.998787849803146
"586",1970,12,397.9,0.883297058092711,0.99956514711236
"4",1971,1,0,1.95403102108378e-10,0
"57",1971,2,8.59471365638766,0.00572402565514864,0.0361462016954197
"110",1971,3,35.1633517495396,0.382594569242285,0.142821496360368
"163",1971,4,116.425866495507,1,0.425378188697866
"216",1971,5,171.0022,0.977111674494386,0.766845435226717
"269",1971,6,221.005749486653,0.954552030410054,0.935950166019247
"322",1971,7,254.889267015707,0.940019511784323,0.984831026183386
"375",1971,8,290.475882352941,0.930422679478093,0.996545217701806
"428",1971,9,326.097887323944,0.921404215836007,0.999220324060844
"481",1971,10,368.823684210526,0.914292699733099,0.99982440756379
"534",1971,11,349.109523809524,0.910490946588041,0.999960472977587
"587",1971,12,388.43,0.905805976063127,0.999991103143216
"5",1972,1,0,1.90201929115497e-10,0
"58",1972,2,11.0096296296296,0.0141867086968632,0.0280508213998661
"111",1972,3,39.2632377184306,0.48631844930751,0.125480125956545
"164",1972,4,134.005464480874,0.99410802332923,0.416351353924734
"217",1972,5,192.507584050039,1,0.780055238616679
"270",1972,6,229.979266572638,0.994269550240535,0.946330462993143
"323",1972,7,260.67398255814,0.988669113917273,0.988721386354274
"376",1972,8,293.880215053763,0.983843709137453,0.997710802674429
"429",1972,9,322.856511627907,0.979869459146398,0.99953870904768
"482",1972,10,353.574305555556,0.976507340880718,0.999907182093179
"535",1972,11,379.736363636364,0.973474709857195,0.999981329294132
"588",1972,12,393.111111111111,0.971731030002937,0.999996244532754
"6",1973,1,0,1.83800603419326e-10,0
"59",1973,2,12.0616279069767,0.0268363801588462,0.00299931796071521
"112",1973,3,28.73015625,0.307734889014173,0.0341836701378743
"165",1973,4,92.1806673209028,0.960305055234698,0.293989775991168
"218",1973,5,153.429304029304,0.997297035243294,0.83048327236447
"271",1973,6,223.576950998185,1,0.982946463958383
"324",1973,7,261.642962962963,0.98181309922023,0.998527526362462
"377",1973,8,298.677818181818,0.965265806036619,0.999874675504993
"430",1973,9,336.953181818182,0.951563439394228,0.999989346589159
"483",1973,10,356.690094339623,0.942471574998622,0.99999909448465
"536",1973,11,386.428571428571,0.930071084450308,0.99999992303397
"589",1973,12,392.211538461538,0.925383304989522,0.999999993458128
"7",1974,1,0,1.90329613961898e-10,0
"60",1974,2,15.2321637426901,0.0489550262250077,0.000173644577520632
"113",1974,3,38.1199369936994,0.430725649568718,0.0052486916489643
"166",1974,4,93.4491543720763,0.99655257866602,0.138154724413121
"219",1974,5,160.410400538539,1,0.829644647021979
"272",1974,6,197.966546112116,0.998774282087384,0.993286664079962
"325",1974,7,251.623983739837,0.992972533003109,0.999777583360849
"378",1974,8,284.943790849673,0.989377761583294,0.999992677475999
"431",1974,9,306.43125,0.986747447166597,0.99999975897395
"484",1974,10,335.255056179775,0.984327987307138,0.999999992066512
"537",1974,11,335.245098039216,0.983359738974258,0.999999999738866
"590",1974,12,342.38125,0.982761910251549,0.999999999991405
"8",1975,1,0,1.81092221051564e-10,0
"61",1975,2,12.3545871559633,0.0161592687230712,0.00025559273393339
"114",1975,3,36.2356645674511,0.385888390196867,0.00545181040092666
"167",1975,4,86.4069283518562,0.950910409240922,0.10517411014321
"220",1975,5,161.97018121911,0.993121358524887,0.715920871983429
"273",1975,6,203.152113207547,1,0.981829988488976
"326",1975,7,245.37175,0.994897376043559,0.999137639536877
"379",1975,8,278.432019704434,0.989024514089187,0.99995974770538
"432",1975,9,301.2728,0.984114938835185,0.999998122621169
"485",1975,10,325.775590551181,0.979797812695471,0.999999912441704
"538",1975,11,343.605454545455,0.975833039615927,0.999999995916412
"591",1975,12,363.349397590361,0.972121627244691,0.999999999809547
"9",1976,1,0,1.93721025141369e-10,0
"62",1976,2,8.46448598130841,0.00925027640242924,0.00163169337011195
"115",1976,3,35.7818265259293,0.566926518613895,0.0206288477050121
"168",1976,4,93.9754914529914,1,0.213503251165785
"221",1976,5,162.681568627451,0.99398682987877,0.777705900925305
"274",1976,6,229.98745141588,0.962737015206673,0.978302690256041
"327",1976,7,247.080464625132,0.950578881358966,0.998282067831173
"380",1976,8,277.31661971831,0.93259489128224,0.999866489673952
"433",1976,9,325.32480620155,0.917907577865943,0.999989639315603
"486",1976,10,340.370454545455,0.908826377097171,0.999999196080254
"539",1976,11,372.880952380952,0.902716554904047,0.99999993762176
"592",1976,12,384.167272727273,0.895036649571166,0.999999995159912
"10",1977,1,0,1.61863598721848e-10,0
"63",1977,2,13.6004642525534,0.0179643485450211,0.000446516851750365
"116",1977,3,31.3089423076923,0.18749959443751,0.00754938032075201
"169",1977,4,95.7472665148064,0.853588086454106,0.11467662636336
"222",1977,5,162.37724164876,0.968250148039912,0.688054225035629
"275",1977,6,206.223611111111,1,0.974065724319914
"328",1977,7,270.725975414217,0.983915679961087,0.998438878284573
"381",1977,8,273.06853470437,0.976312809631604,0.999908186863258
"434",1977,9,306.018831168831,0.954686235726354,0.999994607728153
"487",1977,10,340.425531914894,0.93722615738862,0.999999683332566
"540",1977,11,378.872881355932,0.923782175620406,0.999999981403426
"593",1977,12,376.750819672131,0.920096012863344,0.9999999989079
"11",1978,1,0,1.78296112866537e-10,0
"64",1978,2,8.70659090909091,0.00898292414376629,0.00109461932292324
"117",1978,3,32.495432497979,0.28461097749994,0.0155121908775493
"170",1978,4,113.53783922171,0.936343139968376,0.184712962744554
"223",1978,5,173.795517241379,0.994206117266674,0.765131321599174
"276",1978,6,216.036519979767,1,0.979097839606511
"329",1978,7,255.779017857143,0.987800705890603,0.998517493105381
"382",1978,8,307.348827292111,0.971630090560735,0.999896754254836
"435",1978,9,323.76214953271,0.962482550626195,0.999992818918658
"488",1978,10,359.118518518519,0.949164010831037,0.999999500576806
"541",1978,11,386.54,0.937282926170406,0.999999965266794
"594",1978,12,424.781818181818,0.930212301011025,0.999999997584423
"12",1979,1,0,1.41674461542303e-10,0
"65",1979,2,8.62291666666667,0.0100910883818685,0.000323761224599667
"118",1979,3,33.3376320780276,0.396320515898602,0.011130801578299
"171",1979,4,98.7551101321586,0.755688888507845,0.281201149689308
"224",1979,5,178.989823874755,1,0.931491119046763
"277",1979,6,238.44,0.992533086026389,0.997888320674885
"330",1979,7,258.688503649635,0.969698713647488,0.999939116801591
"383",1979,8,295.324057971014,0.935169526375388,0.999998248133476
"436",1979,9,329.382122905028,0.895814364406106,0.999999949594303
"489",1979,10,357.929262672811,0.860453611864278,0.999999998549701
"542",1979,11,381.41,0.821053102735887,0.999999999958271
"595",1979,12,415.286363636364,0.77921496014574,0.999999999998799
"13",1980,1,0,1.48341154585527e-10,0
"66",1980,2,11.0939226519337,0.0140689204480825,0.000285381290797542
"119",1980,3,42.1642253521127,0.475110946779109,0.00896898200386684
"172",1980,4,98.4081429164936,0.784632818465143,0.222951533015424
"225",1980,5,176.564544901683,0.946138794038844,0.900954642751544
"278",1980,6,244.174082073434,1,0.99654441638998
"331",1980,7,288.660683760684,0.972042701888883,0.999890636903821
"384",1980,8,313.621333333333,0.951503827780979,0.999996550069491
"437",1980,9,348.183760683761,0.921582156803161,0.999999891180845
"490",1980,10,360.594827586207,0.903291233534811,0.999999996567592
"543",1980,11,388.252083333333,0.883628915573389,0.999999999891734
"596",1980,12,379.973684210526,0.875053985493691,0.999999999996585
"14",1981,1,0,1.7597095740656e-10,0
"67",1981,2,10.2834254143646,0.0116842473307602,0.00134091460744547
"120",1981,3,47.1905094905095,0.644452251298559,0.018263451873714
"173",1981,4,107.663867016623,0.926489023804072,0.204926913454006
"226",1981,5,161.037657035176,0.977316361628993,0.781231905319105
"279",1981,6,227.185679484949,1,0.980188848041757
"332",1981,7,275.919157088123,0.986214031849875,0.998543324406049
"385",1981,8,322.64347826087,0.9654714782357,0.999894719929908
"438",1981,9,340.372093023256,0.95812995359661,0.999992400508229
"491",1981,10,369.125555555556,0.947847300947183,0.999999451491237
"544",1981,11,384.99,0.940972490836962,0.999999960410524
"597",1981,12,385.225,0.935427564362199,0.999999997142569
"15",1982,1,0,1.82519596797944e-10,0
"68",1982,2,12.6262773722628,0.0217277321106006,0.00548923261019008
"121",1982,3,44.8250847457627,0.585851735547574,0.0589384747817301
"174",1982,4,124.230599008012,0.960667302233725,0.415429034273101
"227",1982,5,176.562377317339,0.997457872562306,0.889670679545413
"280",1982,6,221.525432236475,1,0.989189089966944
"333",1982,7,257.108881875564,0.993875868349428,0.999037754017995
"386",1982,8,290.729139072848,0.985924154104282,0.99991512327521
"439",1982,9,334.352830188679,0.97169355067105,0.99999251927832
"492",1982,10,363.188372093023,0.963213768727392,0.999999340723296
"545",1982,11,355.210810810811,0.962851706186943,0.999999941898243
"598",1982,12,379.6,0.957289161688985,0.999999994879521
"16",1983,1,0,1.80973415902511e-10,0
"69",1983,2,14.2810526315789,0.029501951635743,0.00277597189077761
"122",1983,3,53.3493586168433,0.757650882298954,0.0344014465794509
"175",1983,4,114.457641291811,0.953880785845907,0.313173452724127
"228",1983,5,183.871895861148,0.999828297491891,0.853709973308607
"281",1983,6,219.883625730994,1,0.98678794326248
"334",1983,7,254.1656449553,0.99456368133341,0.998954955623762
"387",1983,8,280.462512077295,0.988678607912747,0.999918267353671
"440",1983,9,310.710067114094,0.979465180103125,0.999993613388248
"493",1983,10,348.214545454545,0.967884103332999,0.999999500983042
"546",1983,11,369.823529411765,0.959841278239329,0.999999961009596
"599",1983,12,380.608,0.960605970132719,0.999999996953508
"17",1984,1,0,1.83819797554665e-10,0
"70",1984,2,13.2580508474576,0.0221454634940896,0.00291432163688038
"123",1984,3,49.9805585392052,0.717852632667117,0.0357739269535355
"176",1984,4,123.401801125704,0.970115442328833,0.320165077055732
"229",1984,5,180.357904191617,1,0.856691704367649
"282",1984,6,227.685635864593,0.997245725076873,0.986992971650568
"335",1984,7,258.403149606299,0.991254616832042,0.998962876122415
"388",1984,8,279.845614035088,0.986148401552852,0.999918217002934
"441",1984,9,310.573870967742,0.981883164036459,0.999993556631046
"494",1984,10,357.875806451613,0.974368396387961,0.999999492386884
"547",1984,11,390.277777777778,0.965785648279022,0.999999960010102
"600",1984,12,417.625,0.961300583154143,0.999999996849587
"18",1985,1,0,1.82422741923412e-10,0
"71",1985,2,10.7740963855422,0.0128467113573134,0.00257610934841501
"124",1985,3,44.8447932618683,0.573548144975819,0.0480630498981033
"177",1985,4,128.792086736131,0.960598270665352,0.496731386336434
"230",1985,5,199.367552703941,1,0.950726303968907
"283",1985,6,249.896251089799,0.992596794704816,0.997355819232735
"336",1985,7,276.99176276771,0.985386056550609,0.999864398808058
"389",1985,8,314.455263157895,0.976821110551918,0.999993062535484
"442",1985,9,334.372483221477,0.972036295974593,0.999999645117144
"495",1985,10,351.178767123288,0.967418311364889,0.999999981846242
"548",1985,11,381.165714285714,0.95451380992815,0.999999999071359
"601",1985,12,384.43125,0.951788648984242,0.999999999952496
"19",1986,1,0,1.84436587358518e-10,0
"72",1986,2,22.9352,0.114665402644162,0.00184835691573584
"125",1986,3,47.1491379310345,0.680438966202417,0.0337301194328506
"178",1986,4,114.469841269841,0.970555435345396,0.396876736335151
"231",1986,5,176.498147385755,1,0.925398254670698
"284",1986,6,225.356808510638,0.998876430338692,0.99574169388094
"337",1986,7,255.202016806723,0.994308706312226,0.999773190340238
"390",1986,8,286.611074918567,0.989779188442215,0.999987965592637
"443",1986,9,310.229090909091,0.984435397180475,0.99999936159022
"496",1986,10,321.655056179775,0.981641822343365,0.99999996613355
"549",1986,11,356.254347826087,0.977917776089273,0.999999998203449
"602",1986,12,376.545454545455,0.972743321725408,0.999999999904696
"20",1987,1,0,1.92932395505511e-10,0
"73",1987,2,18.1721854304636,0.0691450214923639,0.000568284305797115
"126",1987,3,50.1520955574183,0.831646052252496,0.0133990422045247
"179",1987,4,103.871813832101,1,0.244928783111125
"232",1987,5,156.263198403649,0.991028433973029,0.885683957348826
"285",1987,6,211.691599642538,0.980391671781258,0.994625127787499
"338",1987,7,249.696827262045,0.969525445511519,0.99977380094755
"391",1987,8,272.942567567568,0.962868815240668,0.999990527486596
"444",1987,9,300.413125,0.957591196580901,0.999999603402947
"497",1987,10,321.842857142857,0.953240604623937,0.999999983395341
"550",1987,11,331.963636363636,0.950146816056555,0.999999999304799
"603",1987,12,341.019047619048,0.948009040477471,0.999999999970894
"21",1988,1,0,1.92595440497715e-10,0
"74",1988,2,13.4902097902098,0.0321968435119627,0.000672746127274037
"127",1988,3,32.9451168614357,0.342139494810379,0.00954696054587639
"180",1988,4,94.3444723618091,1,0.121275172228276
"233",1988,5,143.434583333333,0.967317008771015,0.663988680117017
"286",1988,6,195.249139280125,0.945663583812163,0.965863330518281
"339",1988,7,251.937042682927,0.929524756125105,0.997537665738239
"392",1988,8,287.511375661376,0.921346984205179,0.99982763262163
"445",1988,9,307.737566137566,0.917238260912091,0.999987959709989
"498",1988,10,316.709411764706,0.914411853621175,0.999999159081228
"551",1988,11,338.847619047619,0.912167275725248,0.999999941269104
"604",1988,12,380.157142857143,0.909718390904261,0.999999995898158
"22",1989,1,0,1.92565276913914e-10,0
"75",1989,2,13.9285714285714,0.0279010240747914,0.00174794517946884
"128",1989,3,44.770612244898,0.68674561663114,0.0196011938224863
"181",1989,4,104.637271805274,1,0.185854796023818
"234",1989,5,163.020778072502,0.977901489332701,0.72272578182459
"287",1989,6,205.356618610747,0.967245371837411,0.967491933452732
"340",1989,7,243.676250880902,0.960889891372874,0.997065896058777
"393",1989,8,283.637568306011,0.955298321855364,0.999742339667029
"446",1989,9,310.631818181818,0.952408939446515,0.999977428650713
"499",1989,10,326.386,0.950819901151334,0.999998023147295
"552",1989,11,358.34,0.949516310449899,0.99999982686577
"605",1989,12,355.809090909091,0.94901420533055,0.9999999848368
"23",1990,1,0,1.91826130107399e-10,0
"76",1990,2,12.1953488372093,0.0198427882553514,0.00105874466166303
"129",1990,3,36.4468828980623,0.453575539684168,0.0133978905125825
"182",1990,4,95.6168561542264,1,0.148207824275972
"235",1990,5,154.580608974359,0.98294315186179,0.69034130791427
"288",1990,6,193.284523809524,0.97500532756603,0.966175428619939
"341",1990,7,231.598371335505,0.969519025070738,0.997275114894073
"394",1990,8,252.087192118227,0.967037969767627,0.999786794939481
"447",1990,9,293.657698056801,0.963693972277017,0.999983356686893
"500",1990,10,319.933050847458,0.96196386568265,0.99999870101736
"553",1990,11,333.551086956522,0.960755069575657,0.999999898618021
"606",1990,12,348.305555555556,0.96024965662079,0.999999992087428
"24",1991,1,0,1.91211753465347e-10,0
"77",1991,2,12.0246376811594,0.0141727485163054,0.00182588908706418
"130",1991,3,42.7340793489318,0.589331215284552,0.0272911238033506
"183",1991,4,103.56266810113,1,0.300864208372662
"236",1991,5,154.457175925926,0.995885871980673,0.868430393625656
"289",1991,6,197.721771913289,0.993174426459689,0.990219042200446
"342",1991,7,229.873221757322,0.991395140263056,0.999356423658692
"395",1991,8,258.802941176471,0.990134308381676,0.999958015307307
"448",1991,9,287.403355704698,0.989337301032323,0.999997262604338
"501",1991,10,332.985948477752,0.98829489279479,0.999999821528762
"554",1991,11,348.824571428571,0.987768423689,0.999999988364157
"607",1991,12,334.830097087379,0.987549644276618,0.999999999241375
"25",1992,1,0,1.90723429514266e-10,0
"78",1992,2,15.7315789473684,0.0454187774736516,0.00131325223579844
"131",1992,3,26.6882433356118,0.149813416777383,0.0180031750438241
"184",1992,4,84.8213935230618,1,0.203567391735563
"237",1992,5,148.327668845316,0.984637690188226,0.780870960728237
"290",1992,6,186.928600823045,0.978002171269302,0.980269148048815
"343",1992,7,221.242816091954,0.973296363471564,0.998558370033322
"396",1992,8,257.936144578313,0.970003008324293,0.999896458317829
"449",1992,9,277.878021978022,0.967989345291927,0.999992572600194
"502",1992,10,303.092417061611,0.966806254942434,0.999999467254687
"555",1992,11,332.838356164384,0.965540632247399,0.999999961788007
"608",1992,12,351.216363636364,0.964703374945201,0.999999997259186
"26",1993,1,0,1.91724643954683e-10,0
"79",1993,2,15.5777777777778,0.049803600392314,2.56273149087823e-05
"132",1993,3,37.4558904109589,0.524189170046076,0.00237484376647967
"185",1993,4,95.5891016200295,1,0.181077289189204
"238",1993,5,151.564218958611,0.983792713083629,0.953572098996592
"291",1993,6,197.370893970894,0.974570175396587,0.999476104686844
"344",1993,7,226.919453924915,0.969321465994407,0.999994356919701
"397",1993,8,260.780693069307,0.965090247288184,0.999999939247348
"450",1993,9,295.842424242424,0.961568977468745,0.999999999345949
"503",1993,10,306.921167883212,0.960513440622153,0.999999999992959
"556",1993,11,334.588,0.959333708497471,0.999999999999924
"609",1993,12,365.302816901408,0.95820116441898,0.999999999999999
"27",1994,1,0,1.91759469163507e-10,0
"80",1994,2,13.9271186440678,0.021557424432463,0.00117868935206786
"133",1994,3,41.6689530685921,0.589737875563379,0.0184313406001683
